2026-03-02 09:57:59 [main] INFO  org.testng.internal.Utils - [TestNG] Running:
  C:\Users\amand\AppData\Local\JetBrains\IntelliJIdea2025.3\temp-testng-customsuite.xml

2026-03-02 09:58:04 [main] INFO  page.methods.HomePageMethods - URL is entered in browser
2026-03-02 09:58:04 [main] INFO  page.methods.HomePageMethods - Clicking on Novice link
2026-03-02 09:58:04 [main] INFO  page.methods.HomePageMethods - Successfully clicked on Novice link
2026-03-02 09:58:05 [main] INFO  page.methods.HomePageMethods - Clicking on Practice Form link
2026-03-02 09:58:05 [main] INFO  page.methods.HomePageMethods - Successfully clicked on Practice Form link
2026-03-02 09:58:05 [main] INFO  page.methods.HomePageMethods - Clicking on Basic Form link
2026-03-02 09:58:05 [main] INFO  page.methods.HomePageMethods - Successfully clicked on Basic Form link
2026-03-02 09:58:07 [main] INFO  page.methods.HomePageMethods - Switching to Iframe
2026-03-02 09:58:07 [main] INFO  page.methods.HomePageMethods - Successfully switched to Iframe
2026-03-02 09:58:07 [main] INFO  page.methods.HomePageMethods - Entering username: nitin01
2026-03-02 09:58:07 [main] INFO  page.methods.HomePageMethods - Username entered successfully
2026-03-02 09:58:08 [main] INFO  page.methods.HomePageMethods - Entering password
2026-03-02 09:58:08 [main] INFO  page.methods.HomePageMethods - Password entered successfully
2026-03-02 09:58:08 [main] INFO  page.methods.HomePageMethods - Entering comments
2026-03-02 09:58:08 [main] INFO  page.methods.HomePageMethods - Comments entered successfully
2026-03-02 09:58:08 [main] INFO  page.methods.HomePageMethods - Selecting gender: Male
2026-03-02 09:58:08 [main] INFO  page.methods.HomePageMethods - Gender selected successfully
2026-03-02 09:58:08 [main] INFO  page.methods.HomePageMethods - Selecting skills: Java,Selenium
2026-03-02 09:58:08 [main] INFO  page.methods.HomePageMethods - Skills selected successfully
2026-03-02 09:58:08 [main] INFO  page.methods.HomePageMethods - Selecting experience: 1-2 Years
2026-03-02 09:58:08 [main] INFO  page.methods.HomePageMethods - Experience selected successfully
2026-03-02 09:58:09 [main] INFO  page.methods.HomePageMethods - Selecting automation tools: Selenium,Playwright
2026-03-02 09:58:09 [main] INFO  page.methods.HomePageMethods - Automation tools selected successfully
2026-03-02 09:58:09 [main] INFO  page.methods.HomePageMethods - Uploading resume from path: testdata/resume1.pdf
2026-03-02 09:58:09 [main] INFO  page.methods.HomePageMethods - Resume uploaded successfully
2026-03-02 09:58:09 [main] INFO  page.methods.HomePageMethods - Clicking on Submit button
2026-03-02 09:58:09 [main] INFO  page.methods.HomePageMethods - Submit button clicked successfully
